source_site,course_name,course_type,price_raw,price_currency,instructor,duration,syllabus_content,certification_type,brochure_url,url,price_original,start_date,modality,certification,methodology,content
ED Team,Curso: Inteligencia Artificial para todos (2026),Curso,$40,USD,N/A,2 horas,N/A,N/A,N/A,https://ed.team/cursos/ia,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Crea agentes de voz con n8n,Curso,$15,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/agentes-n8n,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Taller: Tu primer portafolio web profesional con Astro,Curso,$28,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/astro-portafolio,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Microsoft Azure desde cero,Curso,$20,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/azure,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Creación de Apps con React Native,Curso,$25,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/react-native,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Affinity Designer 2 desde cero (2025),Curso,$28,USD,N/A,8 horas,N/A,N/A,N/A,https://ed.team/cursos/affinity-designer,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Big Data con Apache Spark,Curso,$15,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/apache-spark,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Terraform desde cero,Curso,$25,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/terraform,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Hacking ético: Elevación de privilegios en Linux,Curso,$30,USD,N/A,6 horas,N/A,N/A,N/A,https://ed.team/cursos/seguridad-linux,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Notion desde cero con IA,Curso,$60,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/notion,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Angular avanzado,Curso,$40,USD,N/A,8 horas,N/A,N/A,N/A,https://ed.team/cursos/angular-avanzado,N/A,N/A,N/A,N/A,N/A,N/A
