source_site,course_name,course_type,price_raw,price_currency,instructor,duration,syllabus_content,certification_type,brochure_url,url,price_original,start_date,modality,certification,methodology,content
NewHorizons,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/cloud,N/A,N/A,N/A,N/A,N/A,N/A
NewHorizons,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/servidores-y-redes,N/A,N/A,N/A,N/A,N/A,N/A
NewHorizons,AZ-800T00: Administering Windows Server Hybrid Core Infrastructure,N/A,N/A,N/A,N/A,43 Académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/servidores-y-redes/az-800t00-administering-windows-server-hybrid-core-infrastructure,N/A,N/A,N/A,"['Certificado de participación con validez internacional, a nombre de New Horizons Corporation', 'Certificado de participación con validez internacional, a nombre de Microsoft']","El curso combina clases en tiempo real y acceso a laboratorios Microsoft durante 6 meses, con un manual digital oficial de Microsoft.","El curso cubre la administración y configuración de infraestructuras híbridas de Windows Server, incluyendo gestión de identidad, redes, virtualización, seguridad, alta disponibilidad y recuperación ante desastres."
NewHorizons,Cybersecurity Fundamentals (CSX),N/A,N/A,N/A,N/A,27 Académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/ciberseguridad/cybersecurity-fundamentals-csx,N/A,N/A,N/A,"Certificado de participación con validez internacional, a nombre de New Horizons Corporation",Curso orientado a la certificación internacional con material de estudios digital orientado al examen de certificación.,"Módulos incluyen introducción a la ciberseguridad, seguridad en redes, principios de arquitectura de ciberseguridad, respuestas a incidentes, y implicaciones de seguridad y adopción de la tecnología evolutiva."
NewHorizons,Certified in Risk and Information Systems Control,N/A,N/A,N/A,N/A,27 Académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/ciberseguridad/certified-in-risk-and-information-systems-control,N/A,N/A,N/A,1 Certificado de participación con validez internacional,"Clases en tiempo real, acceso a material de estudios digital, y grabaciones de clases disponibles por 90 días.","Módulos incluyen identificación del riesgo TI, evaluación del riesgo TI, respuesta y mitigación del riesgo, y monitoreo y reporte de riesgo y control."
NewHorizons,Curso Oficial  ISO 22301 Lead Implementer,N/A,N/A,N/A,Experiencia en continuidad del negocio y gestión de sistemas de gestión de la continuidad del negocio.,5 días,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/gestion-y-procesos-de-ti/curso-oficial-iso-22301-lead-implementer,N/A,N/A,N/A,"Atestación de Finalización del Curso, 31 créditos DPC","Capacitación teórica y práctica con material de más de 450 páginas, acceso a clases grabadas por 90 días, y discusiones en tiempo real.","Módulos sobre introducción a ISO 22301, implementación de un SGCN, análisis de impacto, gestión de crisis, auditoría interna, y preparación para la certificación."
NewHorizons,Taller de Microsoft Project y Power BI,N/A,N/A,N/A,Trainer Certificado con experiencia en gestión de proyectos y herramientas digitales avanzadas.,8 horas académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/gestion-de-proyectos/taller-de-microsoft-project-y-power-bi,N/A,N/A,N/A,"Certificado de participación con validez internacional, a nombre de New Horizons Corporation",Clases en tiempo real con acceso a grabaciones por 90 días y un año de acceso al curso.,"Módulos sobre preparación de datos de Microsoft Project para Power BI, modelado de datos, creación de dashboards, y técnicas de visualización de información."
NewHorizons,Certified Penetration Testing Professional (CPENT) EC-Council,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/ciberseguridad/certified-penetration-testing-professional-cpent-ec-council,N/A,N/A,N/A,N/A,Clases en tiempo real con acceso a una plataforma en la nube.,N/A
NewHorizons,ITIL® 4 Fundamentos,N/A,N/A,N/A,N/A,27 Académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/gestion-y-procesos-de-ti/itil-4-fundamentos,N/A,N/A,N/A,"2 certificates: Carta de participación a nombre de New Horizons, Certificación Internacional a nombre de Axelos - People Cert",Clases en tiempo real con acceso a grabaciones y discusiones en vivo.,"Módulos incluyen introducción a ITIL 4, sistema de valor de servicio, mejora continua, principios rectores, y prácticas de ITIL."
NewHorizons,Microsoft Office,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/microsoft-office,N/A,N/A,N/A,N/A,N/A,N/A
NewHorizons,AZ-104T00: Administrador de Microsoft Azure,N/A,N/A,N/A,N/A,43 Académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/cloud/az-104t00-administrador-de-microsoft-azure,N/A,N/A,N/A,"2 certificados: Certificado de participación con validez internacional a nombre de New Horizons Corporation, Certificado de participación con validez internacional a nombre de Microsoft","Clases en tiempo real, acceso a laboratorios Microsoft durante 6 meses, manual digital oficial Microsoft, acceso al curso por un año.","Módulos incluyen: Identidad, Gobernanza y cumplimiento, Administración de Azure, Redes virtuales, Gestión de Procesos de Negocio, Protección de datos, Gestión del tráfico de la red virtual, Monitoreo."
NewHorizons,"Taller Diseño Instruccional Genially, Canvas e IA",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/educacion/taller-diseno-instruccional-genially-canvas-ia,N/A,N/A,N/A,N/A,N/A,N/A
NewHorizons,OKR Certified Professional,N/A,N/A,N/A,N/A,12 Académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/inteligencia-de-negocios/okr-certified-professional,N/A,N/A,N/A,"2 certificados: Certificado de participación con validez internacional de New Horizons Corporation y Certificado de participación con validez internacional de Certiprof, previa aprobación del examen.","Clases en tiempo real, acceso a clases grabadas, discusiones en tiempo real con un máximo de 20 alumnos.","El curso cubre la implementación y gestión del ciclo de vida de los OKR, diferenciación de OKR de otros sistemas, redacción de objetivos y resultados clave, integración de OKRs, gestión del ciclo de vida completo, buenas prácticas y errores comunes."
NewHorizons,Curso Inteligencia Artificial con Microsoft Copilot y Herramientas Microsoft 365,N/A,N/A,N/A,N/A,20 Horas Cronológicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/ia-agilidad-e-innovacion/curso-inteligencia-artificial-con-microsoft-copilot-y-herramientas-microsoft-365,N/A,N/A,N/A,"Certificado de participación con validez internacional, a nombre de New Horizons Corporation","Curso práctico y orientado a resultados que capacita en el uso estratégico de la inteligencia artificial con Microsoft Copilot en Microsoft 365, aplicando buenas prácticas y casos reales.","Módulos incluyen fundamentos de IA y Microsoft Copilot, aplicación en Word y Outlook, análisis en Excel, diseño de presentaciones en PowerPoint, gestión de reuniones en Teams, generación de prompts eficaces, y herramientas complementarias a Copilot."
NewHorizons,Ciencia de datos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/inteligencia-de-negocios,N/A,N/A,N/A,N/A,N/A,N/A
NewHorizons,ISTQB Fundation V4,N/A,N/A,N/A,N/A,32 Académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/desarrollo-de-software/istqb-fundation-v4,N/A,N/A,N/A,Certificado de participación con validez internacional,"Clases en tiempo real, acceso a clases grabadas por 90 días, discusiones en tiempo real con compañeros e instructor.","Fundamentos de Pruebas de Software, Pruebas durante todo el Ciclo de vida del Software, Pruebas Estáticas, Técnicas de Pruebas, Gestión de Pruebas, Herramientas de apoyo a las Prueba."
NewHorizons,Project Management Professional (PMBOK 7),N/A,N/A,N/A,N/A,53 Académicas,N/A,N/A,Downloaded via Form,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/gestion-de-proyectos/project-management-professional-pmbok-7,N/A,N/A,N/A,"Certificado de participación con validez internacional, a nombre de New Horizons Corporation",Clases en tiempo real con acceso a grabaciones durante 90 días y discusiones en tiempo real con un máximo de 20 alumnos.,"Módulos incluyen Introducción a los Principios, Sistema de Entrega del Valor, Mayordomía y construcción del equipo, Involucramiento de interesados, Pensamiento holístico y liderazgo, y otros dominios relacionados con la gestión de proyectos."
NewHorizons,Ciberseguridad,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/ciberseguridad,N/A,N/A,N/A,N/A,N/A,N/A
NewHorizons,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.newhorizons.edu.pe/cursos-y-certificaciones-internacionales/aplicativos,N/A,N/A,N/A,N/A,N/A,N/A
