source_site,course_name,course_type,price_raw,price_currency,instructor,duration,syllabus_content,certification_type,brochure_url,url,price_original,start_date,modality,certification,methodology,content
PUCP Educación Continua - Programas,Programa de Especialización en Gestión de la Oficina de Proyectos (PMO),Especialización,N/A,N/A,"Docentes con experiencia en gestión de proyectos, incluyendo roles como gerente global de Transformación y PMO, consultores séniores PMO, y docentes en universidades.",56 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-gestion-oficina-proyectos-pmo/,N/A,N/A,N/A,"56 PDU's, Certificado del Programa de Especialización en Gestión de la Oficina de Proyectos (formato digital)",El programa se enfoca en la sostenibilidad de las PMO en entornos turbulentos y promueve el trabajo en equipo a través de trabajos grupales.,El programa aborda la creación o replanteamiento de la oficina de proyectos (PMO) y su alineación con las necesidades de la empresa.
PUCP Educación Continua - Programas,Programa de Especialización en Métodos Ágiles,Especialización,N/A,N/A,"José Brando Maco Victoria, Agile Coach & Trainer con más de 16 años de experiencia en transformación ágil y liderazgo de proyectos.",72 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-metodos-agiles/,N/A,29 Enero 2026,N/A,1 certificado por Centrum PUCP,"Modalidad Online: Clases en tiempo real, enfocadas en herramientas ágiles para el desarrollo efectivo de proyectos.","El programa incluye módulos sobre Agile Mindset, Design Thinking, Design Sprint y Lean Inception, abordando herramientas ágiles y metodologías para la innovación y desarrollo de productos."
PUCP Educación Continua - Programas,Programa de Especialización en Finanzas Corporativas,Especialización,N/A,N/A,"Alfredo Guillermo Vargas de la Guarda, Patricia Henostroza Márquez, Luz Carla Torres Becerra, Edwin Sixto Moncada Ochoa, con amplia experiencia en finanzas y administración.",72 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-finanzas-corporativas/,N/A,29 de enero 2026,N/A,1 certificado: Programa de Especialización en Finanzas Corporativas por Centrum PUCP,Online en tiempo real,"Módulos incluyen Matemáticas Financieras, Finanzas Corporativas, Gestión de Tesorería, Evaluación Económica y Financiera de Proyectos."
PUCP Educación Continua - Programas,Programa de Especialización en Coordinación BIM,Especialización,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://educacioncontinua.pucp.edu.pe/programas/especializacion-coordinacion-bim/,N/A,N/A,N/A,N/A,N/A,N/A
PUCP Educación Continua - Programas,Programa en Gestión Laboral del Régimen Privado,Especialización,N/A,N/A,N/A,72 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-gestion-laboral-regimen-privado/,N/A,29 de enero 2026,N/A,1 certificado por Centrum PUCP,Modalidad Online: Clases en tiempo real con un enfoque práctico y teórico.,"El programa incluye módulos sobre contratación laboral, remuneraciones y beneficios sociales, desarrollo de la relación laboral, y derecho colectivo del trabajo."
PUCP Educación Continua - Programas,Programa en Supply Chain Management,Especialización,N/A,N/A,N/A,72 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-supply-chain-management/,N/A,28 Enero 2026,N/A,1 certificado por CENTRUM PUCP,Modalidad Online: Clases en tiempo real con un enfoque teórico práctico en la gestión de la cadena de suministro.,"El programa incluye módulos sobre Dirección de la Cadena de Suministro, Analítica en la Cadena de Suministro, Planeamiento Oferta - Demanda y Gestión de Inventarios, y Lean Supply Chain Management."
PUCP Educación Continua - Programas,Programa en Inteligencia Artificial Aplicada a los Negocios,Especialización,N/A,N/A,N/A,72 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-inteligencia-artificial-aplicada-negocios/,N/A,29 Enero 2026,N/A,2 Certificaciones,"Modalidad Online: Clases en tiempo real, con un enfoque práctico y teórico en la inteligencia artificial aplicada a los negocios.","El programa incluye módulos sobre gestión de la inteligencia artificial, modelos de machine learning, deep learning, y aplicaciones de IA generativa y automatización de procesos."
PUCP Educación Continua - Programas,"Programa de Especialización en Marketing Digital, Analytics y UX",Especialización,N/A,N/A,"Instructores con amplia experiencia en marketing digital, eCommerce, y analítica, incluyendo expertos de Centrum PUCP y profesionales con experiencia internacional.",72 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-marketing-digital-analytics-ux/,N/A,28 de enero 2026,N/A,"1 certificado: Programa de Especialización en Marketing Digital, Analytics y UX por Centrum PUCP",Online en tiempo real,"Módulos incluyen: Analítica Digital, E-Commerce, Marketing Digital, UX & EX: Diseño de Experiencias de Usuario y Experiencia del Empleado."
PUCP Educación Continua - Programas,Programa en Gestión por Procesos y Mejora Continua,Especialización,N/A,N/A,N/A,72 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-gestion-por-procesos-mejora-continua/,N/A,29 Enero 2026,N/A,1 certificado por CENTRUM PUCP,"Modalidad Online: Clases en tiempo real, enfocadas en la gestión por procesos y mejora continua.","El programa incluye módulos sobre gestión por procesos, mejora continua, gestión de la calidad, herramientas y técnicas de mejora continua, y gestión de indicadores."
PUCP Educación Continua - Programas,Programa en Gestión de Recursos Humanos 3.0,Especialización,N/A,N/A,N/A,84 horas,N/A,N/A,Downloaded via Form,https://educacioncontinua.pucp.edu.pe/programas/especializacion-gestion-recursos-humanos-3-0/,N/A,28 de enero 2026,N/A,1 certificado: Programa de Especialización en Gestión de Recursos Humanos 3.0 por Centrum PUCP,Modalidad Online: Clases en tiempo real,"El programa incluye módulos sobre Gestión Estratégica de Recursos Humanos, People y Human Resources Analytics, Nuevas Tendencias en Gestión de RRHH, Inbound Recruiting, y Agile & Lean HR."
